time,x,y,difficulty
1411070100.8311,-0.320556939278077,0.331324622905912,line
1411070100.83121,-0.261533804274659,0.412048036698741,line
1411070100.83124,-0.202510669271241,0.49277145049157,line
1411070100.83127,-0.143487534267823,0.573494864284399,line
1411070100.8313,-0.084464399264405,0.654218278077228,line
1411070100.83133,-0.025441264260987,0.734941691870057,line
1411070100.83136,0.033581870742431,0.815665105662886,line
1411070100.83139,0.092605005745849,0.896388519455715,line
1411070100.83142,0.151628140749267,0.977111933248544,line
1411070100.83149,0.210651275752685,1.05783534704137,line
1411070100.83153,0.269674410756103,1.1385587608342,line
1411070100.83156,0.328697545759521,1.21928217462703,line
1411070100.83159,0.387720680762939,1.30000558841986,line
1411070100.83162,0.446743815766357,1.38072900221269,line
1411070100.83165,0.505766950769775,1.46145241600552,line
1411070100.83167,0.564790085773193,1.54217582979835,line
1411070100.8317,0.623813220776612,1.62289924359118,line
1411070100.83173,0.68283635578003,1.70362265738401,line
1411070100.83176,0.741859490783448,1.78434607117683,line
1411070100.83179,0.800882625786866,1.86506948496966,line
1411070100.83182,0.859905760790284,1.94579289876249,line
1411070100.83185,0.918928895793702,2.02651631255532,line
1411070100.83188,0.97795203079712,2.10723972634815,line
1411070100.83191,1.03697516580054,2.18796314014098,line
1411070100.83194,1.09599830080396,2.26868655393381,line
1411070100.83197,1.15502143580737,2.34940996772664,turning_1
1411070100.832,1.21404457081079,2.43013338151947,turning_1
1411070100.83203,1.27306770581421,2.5108567953123,turning_2
1411070100.83205,1.33209084081763,2.59158020910513,turning_2
1411070100.83208,1.39111397582105,2.67230362289795,turning_2
1411070100.83211,1.39534705077129,2.67809301820549,turning_2
1411070100.83214,1.47379221993541,2.61607402567245,turning_2
1411070100.83217,1.55223738909952,2.55405503313941,turning_2
1411070100.8322,1.63068255826364,2.49203604060637,turning_1
1411070100.83223,1.70912772742775,2.43001704807332,turning_1
1411070100.83226,1.78757289659186,2.36799805554028,line
1411070100.83229,1.86601806575598,2.30597906300724,line
1411070100.83232,1.94446323492009,2.2439600704742,line
1411070100.83235,2.02290840408421,2.18194107794115,line
1411070100.83238,2.10135357324832,2.11992208540811,line
1411070100.83241,2.17979874241243,2.05790309287507,line
1411070100.83244,2.25824391157655,1.99588410034203,line
1411070100.83247,2.33668908074066,1.93386510780899,line
1411070100.8325,2.41513424990478,1.87184611527595,line
1411070100.83253,2.49357941906889,1.8098271227429,line
1411070100.83256,2.57202458823301,1.74780813020986,line
1411070100.83259,2.65046975739712,1.68578913767682,line
1411070100.83262,2.72891492656123,1.62377014514378,line
1411070100.83265,2.80736009572535,1.56175115261074,line
1411070100.83268,2.88580526488946,1.49973216007769,line
1411070100.83271,2.96425043405358,1.43771316754465,line
1411070100.83274,3.04269560321769,1.37569417501161,line
1411070100.83277,3.1211407723818,1.31367518247857,line
1411070100.8328,3.19958594154592,1.25165618994553,line
1411070100.83283,3.27803111071003,1.18963719741248,turning_1
1411070100.83286,3.30887658571628,1.1652506697974,turning_1
1411070100.8329,3.39942637923341,1.12281560300111,turning_2
1411070100.83293,3.48997617275054,1.08038053620481,turning_2
1411070100.83296,3.54911730656229,1.05266475833023,turning_2
1411070100.83299,3.45030120227758,1.03732273975404,turning_2
1411070100.83302,3.35148509799286,1.02198072117785,turning_2
1411070100.83305,3.25266899370815,1.00663870260167,turning_1
1411070100.83308,3.15385288942343,0.991296684025478,turning_1
1411070100.83311,3.05503678513871,0.975954665449292,line
1411070100.83313,2.956220680854,0.960612646873105,line
1411070100.83316,2.85740457656928,0.945270628296918,line
1411070100.83319,2.75858847228456,0.929928609720732,line
1411070100.83322,2.65977236799985,0.914586591144545,line
1411070100.83325,2.56095626371513,0.899244572568358,line
1411070100.83328,2.46214015943041,0.883902553992172,line
1411070100.83331,2.3633240551457,0.868560535415985,line
1411070100.83334,2.26450795086098,0.853218516839798,line
1411070100.83338,2.16569184657626,0.837876498263612,line
1411070100.83345,2.06687574229155,0.822534479687425,line
1411070100.83349,1.96805963800683,0.807192461111238,line
1411070100.83352,1.86924353372212,0.791850442535051,line
1411070100.83355,1.7704274294374,0.776508423958865,line
1411070100.83358,1.67161132515268,0.761166405382678,line
1411070100.83361,1.57279522086797,0.745824386806491,line
1411070100.83364,1.47397911658325,0.730482368230305,line
1411070100.83367,1.37516301229853,0.715140349654118,line
1411070100.8337,1.27634690801382,0.699798331077931,line
1411070100.83373,1.1775308037291,0.684456312501745,line
1411070100.83376,1.07871469944439,0.669114293925558,line
1411070100.83379,0.97989859515967,0.653772275349371,line
1411070100.83382,0.881082490874953,0.638430256773185,line
1411070100.83385,0.782266386590237,0.623088238196998,line
1411070100.83388,0.683450282305521,0.607746219620811,line
1411070100.83391,0.584634178020804,0.592404201044625,line
1411070100.83394,0.485818073736088,0.577062182468438,line
1411070100.83397,0.387001969451372,0.561720163892251,line
1411070100.834,0.288185865166656,0.546378145316065,line
1411070100.83403,0.189369760881939,0.531036126739878,line
1411070100.83406,0.090553656597223,0.515694108163691,line
1411070100.83409,-0.008262447687493,0.500352089587505,line
1411070100.83412,-0.107078551972209,0.485010071011318,line
